name,male_count,female_count
DAMOND,2038,5
DERYCK,533,0
ELIU,454,0
FARID,817,0
GIANNI,9026,1789
GREOGRY,111,0
KONSTANTINOS,1721,0
NIKOLAOS,1640,0
RAYMONT,301,0
SCHELL,7,5
TIGER,945,35
ANTRON,1216,0
BARRETTE,6,0
BRENNEN,8571,178
BRYIAN,33,0
CID,187,0
CRAY,111,0
DABID,113,0
DARRLYN,22,0
DEMETRUS,633,22
DEMITRIUS,1834,11
JEFERY,52,0
KHALID,5931,0
MAARTEN,29,0
NATHNIEL,11,0
NICOLAI,1375,0
ORLANDUS,116,0
PABLITO,21,0
RAFFI,714,0
RAYLON,819,0
RYON,1872,12
SHERWYN,6,0
TAREK,1963,0
TIMTHOY,18,0
TMOTHY,25,0
TORSTEN,501,0
YARNELL,64,88
ANDRIAN,548,96
ANTOIN,532,0
ANTONYO,645,0
ARACELIO,5,0
ARISTEDES,5,0
BARRION,5,0
BIRAN,164,0
BISMARK,45,0
BRIG,49,0
CARLSTON,5,0
CAROLUS,10,0
CEDERICK,304,0
CHRISTERPHER,276,0
CHRISTORPHER,176,0
CHUBBIE,5,0
CLU,5,0
COLM,537,0
CORREY,1083,46
CRANE,5,0
DARRIUS,7246,0
DARRO,5,0
DEWAN,619,16
DOMINIE,137,6
DONAHUE,64,0
DOUGLUS,5,0
ELCID,5,0
FABRIZIO,1073,0
FERENC,37,0
ISTVAN,81,0
JANATHAN,380,0
JEFFARY,35,0
JEREMAIH,413,0
JONY,229,0
KAIL,548,36
KELSON,1131,0
KRZYSZTOF,452,0
LANORRIS,146,0
LEBARRON,29,0
LENLEY,5,0
MARGARO,5,0
MARKIAN,56,0
MICHAELANGELO,1216,0
MIHAEL,22,0
NATANAEL,1500,0
NICHOLAI,818,0
NIKO,6502,366
NIKOS,739,0
ORLONDO,76,0
PREVIN,68,0
RAJIV,806,0
RAYLEN,799,463
REGE,5,0
REGI,16,0
TAG,129,0
TARENCE,537,0
TARRELL,759,11
TARRENCE,780,0
THADDEOUS,45,0
THERIN,79,0
THERONE,5,0
TIMOHTY,272,0
TODDY,70,0
TOMISLAV,197,0
TREVER,6181,0
TYLAN,2512,152
UWE,35,0
PHAEDRA,0,1710
CHEVELLE,191,2534
CHANTELLE,8,6508
PEBBLES,0,874
TONJUA,0,114
GRINDL,0,41
KIERSTEN,5,14281
MICHAELANNE,0,59
CYBELE,0,149
ANNMARGARET,0,189
MARISELDA,0,65
CHRYSANNE,0,12
TINITA,0,99
SHANTEL,59,10139
LATRISHA,0,1804
TYNNETTA,0,43
CHANTELE,0,419
KHRISTI,0,146
LOLITTA,0,35
MORAG,0,15
PATTYANN,0,22
BRIANNA,418,247792
CARLET,0,8
COSANDRA,0,135
CYNTHIS,0,60
DEDERA,0,8
DUSTI,9,1751
GRIZEL,0,52
KAYANNE,0,23
KELLYJEAN,0,13
KIERA,19,19378
LASHAN,87,512
LETY,0,70
MESHA,0,1183
MICHELANN,0,8
SHALENE,0,848
TREASEA,0,29
TRESSY,0,171
TRISHIA,0,701
UTE,0,25
WONDRA,0,33
ALEASHA,0,968
ANNMARY,0,12
ANNTIONETTE,0,93
ASHLYN,54,44133
BRITTANY,1078,357757
CHEVELLA,0,67
CONSANDRA,0,97
DAMARYS,0,504
DOMONIQUE,1770,5138
DYNETTA,0,22
GIANA,0,7593
GINELLE,0,484
GRINDLE,0,21
JANNEL,0,497
KETRA,0,255
KISHA,12,6616
LATASHIA,0,1798
MERCI,0,533
MILYNDA,0,7
REDENA,0,23
SCHELLEY,0,15
SHAWANNA,0,1404
SHAWNTEL,17,1135
SHELETHA,0,128
SHELISA,0,391
SHERINA,0,797
SHRONDA,0,497
TOMEKA,6,3627
TOSHIA,0,1154
TWANIA,0,63
VERLISA,0,62
YAMILE,0,1283
ADONA,0,35
AISHAH,0,1100
ALESANDRA,0,802
ANGELIKI,0,304
ANJANETTE,0,2556
AYLA,0,16973
BENEE,0,6
BERRI,0,6
BRYCIE,0,6
CAMBRIA,0,4706
CASSANDA,0,55
CHARVETTE,0,24
CHRYSTI,0,50
CONYA,0,65
DALINA,0,418
DANALYNN,0,33
DAWNDA,0,6
DEIRDE,0,6
DENITRA,0,476
DESARIE,0,138
DOBORAH,0,11
FRANZISKA,0,186
GLYNISS,0,6
HEAVENLY,0,3312
JAYDA,24,17730
JAYNEEN,0,6
KARILYNN,0,107
KARINDA,0,92
KATJA,0,850
KENDYL,109,4535
KENYETTA,128,2735
KERSTEN,0,918
KONA,294,133
KRIN,0,11
LAKITA,0,1628
LATIFA,0,725
LATONGA,0,128
LAURISA,0,310
LOLISA,0,25
LORRIEANN,0,27
MAJELLA,0,6
MARRISA,0,1059
MAURISA,0,292
MICHALANN,0,6
MIKELANN,0,6
MIKO,507,488
MONJA,0,6
MONNETTE,0,22
MORAIMA,0,287
NEEVE,0,29
NICA,0,208
NURY,0,115
ODALIS,51,2487
PATTINA,0,6
REGEINA,0,22
REJENA,0,6
REMONDA,0,16
RENESSA,0,194
RENISE,0,128
ROSIO,19,2460
SEANNE,0,61
SHALONDA,0,4632
SHANTELL,26,5051
SOOK,0,6
STANJA,0,6
SUANNA,0,22
SUBRENIA,0,18
SYMONE,0,3939
TAMMANY,0,6
TANGE,0,59
TATJANA,0,418
TIANN,0,67
TIPPI,0,100
TOYKA,0,11
TREINA,0,77
TROYANNE,0,6
VESNA,0,228
YANINA,0,367
YLANDA,0,20
YULINDA,0,28
ALDRINA,0,5
ALLECIA,0,175
AMIRA,0,12017
ANGELAR,0,10
ANGENETTA,0,34
ANY,0,621
ASHA,32,7485
ASHLIE,5,9976
BALYNDA,0,5
BERNDA,0,5
BERRIE,0,5
CAMALLA,0,12
CAMILIA,0,487
CANDRIA,0,15
CARALYNN,0,279
CHANELLE,0,4901
CHARETTA,0,5
CHARNETTE,0,192
CHAROTTE,0,5
CHELI,0,10
CHELLEY,0,18
CHERELLE,0,1669
CHERIA,0,199
CHISTINA,0,282
CHONNA,0,10
CHRYSTINA,0,585
CULLEEN,0,5
CYBELLE,0,26
DAIQUIRI,0,42
DANEA,0,494
DEDRAH,0,5
DEEDRE,0,39
DEIDRI,0,5
DENAY,0,510
DENETRICE,0,22
DESHA,5,812
DESSIREE,0,137
DEVETTE,0,55
DIENA,0,10
DORANDA,0,5
DORCIA,0,23
DOWN,0,17
ELLETTE,0,5
ENNETTE,0,5
ERINN,143,3368
EVELINDA,0,15
EWA,0,279
EWANDA,0,5
FALECIA,0,218
FELESHA,0,177
FLECHIA,0,5
FRANCEL,0,5
GAILEEN,0,5
GEANNINE,0,21
GITTA,0,10
GITTEL,0,1003
GRINDA,0,5
HELLER,0,5
IBET,0,32
JACULINE,0,5
JAELYN,1101,12080
JAIMY,29,381
JAINA,0,1616
JALANA,0,297
JAMELLA,0,445
JAMETTE,0,30
JAMILLE,260,445
JAWANNA,0,306
JAYLYNN,472,7878
JAYNETTE,0,17
JOELAINE,0,5
JUELLA,0,5
KAARI,0,79
KADRA,0,82
KALIA,0,4147
KAMILA,0,9240
KARALYNN,0,637
KASIE,21,4098
KELLEIGH,0,424
KEMBERLEY,0,39
KERREN,0,15
KERRIANNE,0,523
KETRINA,0,105
KIMBRELY,0,78
KIRI,0,865
KRISSIE,0,422
KRISTIANA,0,2589
KRISTIANN,0,206
KRYSTIE,0,521
LACHONNE,0,5
LACYNTHIA,0,10
LALISA,0,92
LARAYE,0,5
LATISE,0,78
LAWENDA,0,5
LAWONA,0,29
LEENA,0,3809
LEIAH,0,1007
LEICHA,0,5
LEKITA,0,134
LESHEA,0,108
LIKITA,0,32
LISAJEAN,0,5
LOIR,0,10
LOLETHIA,0,5
LORESSA,0,18
LORRIAN,0,5
LURINDA,0,15
LYNESE,0,46
MAGGY,0,453
MALESA,0,32
MARCEIA,0,16
MARIJKE,0,107
MARRA,0,307
MARRIA,0,81
MARSUE,0,5
MARTIZA,0,293
MARYELLYN,0,5
MAYLYN,0,268
MAYTE,0,2833
MAYUMI,0,474
MICHONE,0,10
MLISA,0,10
MONTSERRAT,0,3981
MYSTI,0,706
NANNETT,0,5
NESA,0,95
NIOMI,0,779
OURANIA,0,110
PANELA,0,5
PATARICA,0,16
PERSONNA,0,5
PORSHA,6,3978
PRISILLA,0,637
RAINY,0,843
RAMI,2598,212
RANIA,0,2354
RAUNDA,0,5
RAYCHEL,0,1464
RAYLYN,53,718
REGLA,0,65
RESIA,0,5
REVECA,0,102
RHNEA,0,5
SERAH,0,607
SHALANE,0,429
SHARANDA,0,431
SHELEEN,0,78
SHENDA,0,10
SHENISE,0,467
SHERALDINE,0,5
SHEREESE,0,238
SHERILE,0,5
SHERONE,10,40
SHERRINA,0,63
SHERRITTA,0,18
SIOBAN,0,36
STEPHANNE,0,92
SUNITA,0,602
TALONA,0,25
TAMARYA,0,11
TAMMYJO,0,38
TANGERINE,0,39
TANGLA,0,36
TARAH,0,4651
TARIE,0,20
TARISA,0,90
TAWNJA,0,10
TELECIA,0,200
TEMI,0,10
TESHA,0,1804
THERSE,0,5
THOMASIN,0,10
TIANNE,0,190
TIAWANA,0,135
TITANIA,0,520
TIWANDA,0,177
TOMARA,0,400
TRICA,0,200
TRONA,0,18
TYANA,0,2562
VELVETTA,0,10
VIRGINI,0,5
VONNITA,0,5
WYNDIE,0,5
XOCHILT,0,1383
ZOYA,0,2506
MEDGAR,46,0
KEIR,930,64
DANGELO,7341,0
BETO,53,0
DARRAYL,8,0
DARYELL,8,0
MUSTAFA,5044,0
STEVEY,23,124
TAVIS,2125,6
BRITON,521,5
CEPEDA,24,0
DERONE,55,0
JAYDEE,411,507
JUANCARLOS,3564,0
MASSIMO,2326,0
PANAGIOTIS,1153,0
RAVI,2718,5
SHAIN,1169,26
SHEDRIC,78,0
VOLTAIRE,46,0
ANDRAS,195,0
BROCKTON,719,0
CHANSE,1038,16
DAMEN,2258,0
DEANGLO,168,0
DREXAL,6,0
EARON,167,5
EIRIK,263,0
ISABELO,16,0
JEVON,4658,91
JOZSEF,123,0
KALLEN,1525,287
KLAYTON,2103,0
LAKEITH,634,0
LUKAS,30038,19
MIKHAEL,707,8
NICHOLUS,754,0
OBDULIO,68,0
PETAR,510,0
QUENT,46,0
RAL,6,0
TYRIS,601,0
VARICK,212,0
BILLISON,5,0
BILLYJOE,398,0
BLAKLEY,49,299
BOUVIER,5,0
CARLAND,10,0
CHINO,112,0
CLARENC,15,0
CONAL,121,0
DARIVS,67,0
DEMETRE,622,12
DEMOND,5618,25
DERRYCK,219,0
DETRICK,1468,25
DYRELL,171,0
ELAN,2746,713
EMMANUAL,437,0
ENSIGN,5,0
ERENST,5,0
ERI,338,291
FARIN,17,97
GREGSON,10,0
JEM,36,69
JERMONE,248,0
JEROM,11,0
JJ,484,0
KAHN,35,0
KENDALE,895,55
KENIN,10,0
KIER,422,11
KINNARD,5,0
MAHER,827,0
MALE,1525,0
MARKY,83,0
MEDGER,11,0
NADER,1455,0
OZIEL,1622,0
PANOS,22,0
RAMIN,601,0
RAMONT,57,0
ROBNEY,5,0
ROBRET,10,0
SELVYN,10,0
SHARIF,2528,5
SHEROD,565,0
SHERVIN,198,0
SLAYTON,321,0
SPEROS,11,0
TARIQ,5670,7
TARON,2345,90
TORIS,120,0
TRON,529,7
VIENCE,5,0
VIVEK,1692,0
DJUNA,0,358
DENEANE,0,104
DENEENE,0,74
DIAHN,0,65
DHANA,0,110
ROTUNDA,0,104
ANJEANETTE,0,389
KESIA,0,661
DANEAN,0,127
KESHA,5,5204
KESHIA,6,5381
SHANELL,12,4553
SHEVELLE,0,151
ANNJANETTE,0,148
DEENEEN,0,12
DEIDREE,0,23
KAILA,0,13501
KECHIA,0,154
RONIT,471,328
SENTA,0,314
CENITH,0,10
DENNINE,0,50
DUJUANA,0,25
THEDY,0,10
TIFFINY,0,2388
TUNJA,0,22
DEINA,0,101
DJANA,0,9
DUUNA,0,9
DUWANA,0,15
KEA,0,637
KELLYN,154,1824
PHEADRA,0,17
SHANTELLE,0,2661
ALANDRA,0,897
ASHLYNN,12,22191
DALISA,0,334
DEADRIA,0,26
ERRIN,271,842
JULYN,0,8
KEESHA,0,2699
KRISHA,0,1804
LATISA,0,535
MALKY,0,1647
NOELE,0,135
SHALANDA,0,1744
SHANEE,0,1503
SHANEY,0,409
SUPRENA,0,114
TANGALA,0,97
ZINIA,0,53
BELINA,0,95
BOBBIEJO,0,1009
CELYNN,0,7
CHANNON,373,729
CHENELLE,0,797
CHEVON,63,555
DEATRIA,0,14
DENEENA,0,7
DENIENE,0,12
DENNEN,0,7
DORAIN,40,7
DUCHESS,0,131
ERNETTA,0,7
EULONDA,0,78
FAITHANN,0,251
GLYNNE,0,7
GWENDOYLN,0,7
IBIS,12,57
INGAR,0,7
JATON,55,62
JENIA,0,398
JOLONDA,0,81
KAARIN,0,89
KATINKA,0,17
KISA,0,577
KRISTIA,0,417
KRISTL,0,95
KRISTLE,0,892
LANIECE,0,539
LASHONDA,0,9230
LATAYNA,0,183
LATECIA,0,505
LYVETTE,0,7
MARIALAINA,0,7
MARSCHELL,0,7
PLESHETTE,0,210
REVINA,0,13
ROBANN,0,7
RONNITA,0,103
ROSHANDA,0,1163
ROTONDA,0,48
SOLITA,0,112
SUNDI,0,182
TAMMYLYNN,0,29
TATYANA,0,10061
TEISHA,0,1240
TIFFINI,0,1290
TRIVA,0,97
YASEMIN,0,408
ZINNA,0,22
ANGULA,0,53
ANJALI,0,5060
ANJANETTA,0,36
ANJELA,0,550
ANJIE,0,36
ANNJEANETTE,0,91
ANURADHA,0,127
BETHLYN,0,6
CHARADE,0,11
CHAUN,428,11
CHERAY,0,128
CHORLETTE,0,6
CHRYSTYNA,0,25
CINZIA,0,79
CORISSA,0,2021
DAGNE,0,12
DARLANA,0,6
DEENE,0,6
DEJUNA,0,6
DESIRIE,0,133
DIENNA,0,16
DREEMA,0,6
DUUANA,0,6
DUWANNA,0,11
DYNELL,58,6
DYNETTE,0,40
DYWANA,0,12
ECHELLE,0,20
ENGER,0,6
FELESHIA,0,128
GENNIA,0,6
HERLANE,0,6
HETHER,0,364
INGRED,0,18
JACQULINA,0,6
JANON,0,40
KANDAS,0,77
KASHA,0,1494
KERINA,0,219
KIMBERLAND,0,6
KORINNA,0,390
KRISSI,0,341
LATANA,0,79
LATESIA,0,172
LATISHIA,0,645
LAWNA,0,16
LAYA,0,1207
LORRINA,0,55
MARGUETTA,0,86
MARNAE,0,154
MELECIA,0,40
MICHELLENE,0,17
MONIC,0,509
NARISSA,0,742
NOEME,0,6
PRISCILA,0,4134
RALONDA,0,145
RAYNITA,0,24
RECHELL,0,43
RENU,0,71
SHANYN,0,262
SHAREESE,0,507
SHAWNN,107,44
SHEVELL,0,6
SHIRENE,0,36
STACCI,0,6
STEPHNE,0,11
TARALYN,0,681
TAUSHA,0,1369
TENNIA,0,36
TESHIA,0,452
TESSIA,0,371
TOMIKA,5,2781
TONYUA,0,6
TORSHA,0,134
TRASI,0,6
TREASIA,0,6
TRONDA,0,60
WHENDY,0,12
XANTHE,0,278
YOWANDA,0,23
ABILENE,0,976
ADONIA,0,321
ANEGLA,0,35
ANGIELA,0,23
ANGY,0,382
ANJANNETTE,0,72
ANNEL,0,522
ANNELIES,0,162
ANNEMARGARET,0,5
ANNEMARY,0,5
ANNICK,0,168
ARIADNA,0,2434
ARIENNE,0,409
ARINDA,0,10
ARLESA,0,10
AZUSENA,0,426
BABBETT,0,5
BAVAN,0,5
BELLINDA,0,5
BENILDA,0,5
BERITA,0,5
BETHINA,0,20
BRANDE,0,1141
CANITA,0,12
CARYE,0,11
CHANTAE,0,510
CHEVELL,0,21
CHRISI,0,16
CHRISTMAS,0,154
CLIFTINA,0,5
DAHNA,0,56
DANIELIA,0,5
DANYEL,655,2504
DARLYNDA,0,5
DARNISHA,0,877
DAYA,0,553
DEANEEN,0,5
DEBBEE,0,5
DEIRORE,0,5
DELANDA,0,78
DEMETRAS,0,5
DEMI,0,7812
DENEEM,0,5
DENNELL,10,28
DESIREA,0,1862
DETRI,0,5
DETRIC,420,5
DINESE,0,16
DINISE,0,5
DINNIA,0,10
DJUANNA,0,12
DLINDA,0,5
DONDEE,0,20
DONDREA,17,76
DONDRIA,0,35
DRESDEN,695,170
DUTCHESS,0,110
ELAINEA,0,32
EMESE,0,37
ENETTE,0,5
ESCHELLE,0,5
FALISA,0,82
GENESIS,1844,59562
GENNI,0,61
GERALDIN,0,118
GERISE,0,17
GRIZELDA,0,166
GUENDALINA,0,5
HALANE,0,5
HERLAINE,0,5
HILLARI,0,250
JACQELYN,0,5
JACQUESE,97,149
JAWANDA,0,257
JENNAFER,0,1080
JEVETTE,0,5
JOANELLE,0,29
JOBI,6,42
JUDYLYNN,0,5
JULISSA,11,22948
JUWANNA,0,49
KAARA,0,13
KANANI,5,762
KANDANCE,0,91
KATANYA,0,116
KATONYA,0,292
KAWANNA,0,551
KAYLAH,0,6003
KEHAULANI,0,306
KELLEYANN,0,5
KELLIJO,0,45
KENDALYN,0,784
KIMANN,0,18
KIMBLA,0,5
KINDLE,37,482
KOREENA,0,90
KOURTNEY,780,13269
KYNDALL,182,4902
LALINDA,0,34
LATANZA,0,80
LATARSHA,0,1975
LATITA,0,38
LATREASE,0,289
LAYNETTE,0,17
LESHAWN,761,312
LONYA,0,65
LOVANDA,0,10
LUCERTIA,0,5
LYNDSEY,32,14164
LYNNISE,0,10
MAHA,0,1594
MALISHA,0,626
MALYN,0,150
MARAH,0,2130
MARIATERESA,0,278
MARICEL,0,460
MARLETHA,0,5
MARVELOUS,134,56
MAYLYNN,0,410
MELAINA,0,1084
MELISIA,0,122
MICHALYN,0,18
MINELBA,0,5
MISHAWN,70,117
MISTEE,0,250
NAJA,6,1236
ORLY,0,590
PANCHITA,0,5
PANDORIA,0,5
PASHA,301,498
PATREA,0,10
PATRENIA,0,15
RAJEANA,0,16
RALANDA,0,20
RANATA,0,80
RASHEL,0,1123
RASHIDA,6,2970
RAYLYNN,25,1969
RENUKA,0,91
RHODENA,0,5
ROMANDA,0,106
ROSEAN,32,5
SAHARA,5,3574
SALANDRA,0,5
SECUNDA,0,10
SHANTE,216,5795
SHARINA,0,1048
SHARNETTE,0,192
SHAVONDA,0,1117
SHAWNAE,0,351
SHAWNALEE,0,29
SHELE,0,5
SHELINDA,0,47
SHEREDA,0,67
SHERNELL,0,62
SHIRE,0,16
SHONTA,74,1604
STARLITE,0,34
SUELYNN,0,50
SUZETT,0,51
TAJUANNA,0,63
TAMERON,117,53
TARENA,0,153
TARYA,0,43
TASKA,0,24
TEKA,0,236
TERENE,0,10
TEWANDA,0,35
THESA,0,5
TIERRA,70,14668
TONGIA,0,26
TRISS,0,14
TRIVIAN,0,5
TULISA,0,5
TYSHA,0,853
VALONDA,0,36
VANNESS,13,5
VONTINA,0,15
WILLISA,0,11
WRENDA,0,5
YANIRA,0,3070
YOVONNE,0,28
JANSSEN,174,0
LYDON,214,0
RINGO,220,0
KHRISTOPHER,2112,0
DERYK,742,0
HUD,40,0
SURESH,140,0
DERREN,399,0
JEANMARC,168,0
KAREEM,14620,198
KLARK,66,6
AARRON,1220,0
ABIMAEL,1074,0
BILAL,4361,5
CHRISTIAAN,851,0
CURITS,42,0
DEVLON,93,0
KEITHEN,531,0
KENNDY,7,10
MOHAMMAD,12886,10
RODDERICK,232,0
SCHAUN,44,0
SPYROS,102,0
TREVIN,4364,0
CARLITOS,477,0
CEDRICE,12,0
CHRISTAPHER,691,0
DERIN,798,146
DJ,683,13
DONAVIN,2178,0
DONTA,3714,91
EFRAM,41,0
FRITZGERALD,43,0
HIRAN,72,0
JAMIN,3131,138
JAMON,2572,6
JARON,10605,48
JOANTHAN,470,0
JONPAUL,1508,0
JOSEHP,16,0
KORRY,360,12
LEANTHONY,292,0
MARKEITH,2029,0
SHEAN,414,6
SILTON,6,0
TAMAS,96,0
TRAE,3633,46
TRAMPUS,277,0
AJAY,3840,5
ANTHONI,858,0
ARTUR,655,0
BJ,688,5
BRINT,54,0
CADET,5,0
CARLITO,1143,0
DEADRICK,179,0
DECARLOS,1154,0
DELANDO,147,0
DELFRED,22,0
DEMITRI,1800,23
DEMONT,522,0
DEQUINCY,364,0
DESTERY,11,0
DINESH,167,0
DONNYE,5,0
DWON,160,0
FITZROY,163,0
FREDRICKS,10,0
GABRIAL,1566,264
GLENNARD,5,0
GUMERCINDO,16,0
HATEM,79,0
IOANNIS,1133,0
JANOS,139,0
JARET,2837,22
KIMBELL,10,0
LEOVARDO,252,0
LEVELLE,251,0
MANOJ,225,0
MANOLO,812,0
MARCUM,20,0
MICHAELS,5,0
NATHENIAL,42,0
NEPHTALI,125,6
NICKLAUS,3279,0
NIK,177,0
QUINTION,5,0
RAHEEM,7069,6
REINARDO,5,0
ROOSEVE,5,0
TAGGART,575,0
THEL,5,0
TRAMPAS,395,0
TROND,10,0
ZEDRIC,182,0
LATRENDA,0,485
TATIA,0,628
XAN,115,122
ENDORA,0,109
LIESL,0,1674
FANITA,0,33
PETULA,0,179
KIESHA,0,2621
WEDNESDAY,0,942
DALIAH,0,557
GEMINI,185,355
TERESKA,0,17
CATRICE,0,1005
MARTICIA,0,67
PHELICIA,0,202
CYMANTHA,0,27
DANNAH,0,534
MISSEY,0,72
ALYSHA,0,9218
ARLISHA,0,276
DAJUANA,0,132
DEANINE,0,41
KRYSTIN,0,3108
LASHUNDA,0,2270
LATRENA,0,261
MORTICIA,0,47
SAMANATHA,0,601
SEMANTHA,0,19
SHARICE,0,1459
SUEANNA,0,44
TAMEKA,41,12727
TIERSA,0,99
TIMOLYN,0,9
TONJI,0,102
VONYA,0,84
ALEKSANDRA,0,2560
ANGLIE,0,45
ANJELICA,0,4232
ARASELI,0,1190
BETHANEY,0,631
EVET,0,20
JENNIFE,0,265
JODILYN,0,76
JONNELL,11,58
KEICA,0,13
KEICHA,0,60
KERENSA,0,451
LASHANA,0,1060
LISI,0,24
LUZMARIA,0,682
MAYELA,0,796
MELYSSA,0,1949
SHANIE,0,488
SHARIANNE,0,8
TYESE,0,321
VHONDA,0,13
ALICEN,0,1021
AMINAH,0,3399
ANNALISE,0,10487
ARICA,0,2324
BILLIJO,0,183
COURTNAY,10,467
DANNITA,0,14
DENETA,0,13
DINENE,0,7
KAYCIE,0,2120
KELLIEANN,0,48
KOLLETTE,0,19
KRISTIANE,0,114
LARESSA,0,257
LEASER,0,7
PETINA,0,119
SAMANTH,0,262
SHELLEEN,0,37
SHUNDRA,0,376
STASHA,0,764
SYMANTHIA,0,12
WINDIE,0,135
YOVONDA,0,33
ZABRINA,0,1293
ALECHIA,0,82
AMIA,0,4193
CHANTALE,0,319
CHANTEE,0,291
CHENELL,0,256
CHEVETTE,0,113
CHIRSTINA,0,313
CHONDA,0,189
DEAH,0,191
DEMITRIA,0,575
DOMINA,0,12
EURYDICE,0,67
FABIANA,0,1416
FRANCITA,0,6
GANA,0,29
GIANNINA,0,318
GWANDA,0,6
ILYSSA,0,736
JAMILAH,16,2176
JENNIPHER,0,639
JODINA,0,12
JOVONNIE,28,6
JULISA,0,4196
JWANA,0,27
KAMARA,12,1596
KASAUNDRA,0,455
KENDAHL,49,627
KERRYANN,0,333
KEYSHA,0,1766
KICIA,0,12
KIMBERLINE,0,6
KINDALL,45,581
KRISA,0,205
KYRSTEN,0,1958
LAKECIA,0,629
LASHARN,0,83
LATUNYA,0,219
LIBBEY,0,114
LISANN,0,23
LORISSA,0,1226
MAREENA,0,289
MARILUZ,0,355
MEENA,12,1197
MEIGHAN,0,564
MIYA,0,6328
NESHA,0,478
NITSA,0,11
PAMMELA,0,6
PATRESS,0,6
PHELECIA,0,6
REEMA,0,1222
REISHA,0,135
RESHELL,0,50
RONYA,0,261
SAMMANTHA,0,1964
SAMONA,0,306
SANGEETA,0,172
SHAMI,0,17
SHARLISA,0,71
SHERRELLE,0,236
SHUNTA,29,732
SHUREE,0,151
SHVONNE,0,50
SOYNA,0,57
STASI,0,46
SWATI,0,403
TAWANIA,0,137
TECIA,0,123
TIMBERLEY,0,6
TRESHIA,0,6
TRICHA,0,99
TYRIA,6,333
URSALA,0,92
ADILIA,0,20
ALECE,0,84
ALISCIA,0,269
ALLISEN,0,365
ALMIDA,0,5
ANNMARI,0,5
ANTONNETTE,0,18
APASRA,0,5
ASHLEIGH,83,31521
BELKIS,0,391
BENESSA,0,5
BREANNA,65,80807
BRENEE,0,158
CAHTERINE,0,111
CAREE,0,134
CATRIONA,0,580
CELES,0,181
CELESE,0,73
CHAVON,55,671
CHAWN,187,40
CHERETTA,0,5
CHERILEE,0,23
CHRISTIENNE,0,40
CHRISTYNA,0,388
CINDYANN,0,15
DAFNA,0,74
DAHN,5,16
DAMONA,0,10
DANYELL,324,2512
DAPHNY,0,48
DEANNAH,0,107
DEBORAL,0,5
DEELLA,0,5
DELAURA,0,10
DELENIA,0,5
DENNE,0,5
DETRICH,117,11
DOMENIQUE,187,539
DOMINQUE,2370,3871
EIZABETH,0,44
ELISHEVA,0,1797
EVALINDA,0,10
FILIZ,0,5
FONTILLA,0,5
FRANCISKA,0,16
GELA,0,26
GRAZIELLA,0,467
ILLYA,354,31
JACEY,430,7179
JAVONNA,0,824
JENEFER,0,320
JHANA,0,96
JOHNEEN,0,11
JONAE,0,1040
KACI,82,8935
KARIANN,0,789
KARMELA,0,131
KEARN,0,5
KEVIA,0,237
KHADIJA,0,3423
KHRISTIE,0,144
KIMBERELEY,0,11
KIMBERLEI,0,18
KIMBERLLY,0,184
KIMBLER,0,10
KRISANNA,0,32
KYLEE,441,45681
KYMBERLIE,0,185
KYNDA,0,29
KYNDRA,0,2355
LADRENA,0,24
LALE,0,22
LANESA,0,5
LARNICE,0,5
LARONA,0,39
LASHAWNA,0,1795
LATAUNYA,0,61
LATOSHIA,0,1057
LATRISA,0,144
LEASIE,0,11
LORILEA,0,10
LUCRESHA,0,73
LYCRECIA,0,5
MACHELLA,0,15
MALAINA,0,763
MARIXA,0,343
MARRISSA,0,1438
MAYANN,0,5
MECIA,0,21
MEERA,0,2453
MELLYORA,0,5
MELVITA,0,5
MERINA,0,304
MILLETTE,0,86
MONEE,0,451
MONICIA,0,110
MONISA,0,59
MYSTIE,0,243
NACOLE,0,1018
NICCOLE,0,1352
NIKIE,0,191
PATRISA,0,5
PORCHIA,0,528
PRESTINA,0,79
PRINCILLA,0,5
RAENEE,0,15
RIKKE,0,16
RONNETT,0,61
RONNICA,0,134
ROSHAWN,881,422
ROSHUNDA,0,589
RUBYANN,0,156
SAMENTHA,0,62
SATINA,0,170
SEVA,0,49
SHANDON,730,184
SHANIN,0,317
SHANNETTE,0,180
SHARHONDA,0,1333
SHAWAN,59,236
SHAWNTA,118,1812
SHELEY,0,32
SHELINA,0,425
SHERAE,0,273
SHERAY,0,151
SHERLONDA,0,156
SIENA,0,6893
SUNJA,0,11
TABATHA,0,19307
TABETHA,0,3912
TAIRA,0,1013
TAJ,4398,390
TALEEN,0,608
TALICIA,0,542
TAMARI,256,502
TARRON,402,20
TARRYN,10,737
TEESHA,0,478
TELICIA,0,489
TERALEE,0,5
TERESAANN,0,5
TERRAINE,5,5
THRESE,0,10
TIALISA,0,36
TICHINA,0,379
TIFFANEY,0,2281
TRENESE,0,72
TRINETTA,0,126
TYNESE,0,11
ULRICA,0,60
VALISHA,0,248
VELISSA,0,42
VERDONNA,0,5
VICHELLE,0,5
VIONETTE,0,5
WALESCA,0,23
YOLENDA,0,5
ZANETTE,0,10
JARROD,24992,65
SHENANDOAH,112,319
TARUS,534,0
DIRON,174,0
UNDRAY,105,0
ALFONSON,8,0
ANDRAY,230,0
MARICHAL,8,0
SYED,4803,11
TORRELL,374,0
TREVON,13413,25
ALEXI,1512,3879
AMIN,2610,0
GARRIN,412,0
KEEGAN,32602,3151
