name,male_count,female_count
BLANCH,30,6420
CHARITY,39,34208
LORENA,219,43331
LUCRETIA,0,10408
ORPHA,0,5950
ALVINA,5,10316
ANNETTE,499,167657
CATHARINE,0,12922
ELMA,483,21437
GENEVA,309,87428
JANET,1518,555760
LEE,230413,62094
LEORA,6,11021
LONA,17,10770
MIRIAM,275,106905
ZORA,21,7525
LINDA,3757,1451809
OCTAVIA,139,15274
SUDIE,0,4023
ZULA,0,4334
ADELLA,0,5371
ALPHA,2311,7121
FRIEDA,0,25161
GEORGE,1461000,9933
JOANNA,306,101452
LEONORA,0,6811
PRISCILLA,245,118233
TENNIE,19,2777
ANGELINE,10,35245
DOCIA,0,1105
ETTIE,0,1787
FLOSSIE,37,21793
HANNA,127,36822
LETHA,25,19123
MINTA,0,1283
RETTA,0,3350
ROSELLA,5,15375
ADAH,0,3236
BERTA,0,7226
ELISABETH,27,45339
ELISE,61,62695
GOLDIE,435,35868
LEOLA,52,27917
MARGRET,0,9953
ADALINE,0,6478
FLOY,323,6611
IDELLA,0,6478
JUANITA,991,207016
LENNA,0,3510
LUCIE,0,6283
MISSOURI,0,1553
NOLA,9,22319
ZOE,448,116591
EDA,0,4028
ISABELL,5,14245
JAMES,5136026,23280
JULIE,1524,507235
LETITIA,0,11381
MADELINE,240,181563
MALISSA,0,8806
MARIAH,183,105477
PATTIE,5,9503
VIVIAN,2559,201819
ALMEDA,0,4400
AURELIA,0,12455
CLAIRE,2193,177660
DOLLY,44,19801
HAZEL,2681,250379
JANNIE,28,14771
KATHLEEN,1693,711291
KATHRINE,0,15608
LAVINIA,0,4996
MARIETTA,0,14747
MELVINA,0,6624
ONA,92,7678
PINKIE,11,3881
SAMANTHA,1198,566306
SUSANNA,0,18441
CHLOE,308,196396
DONNIE,60111,7121
ELSA,21,28051
GLADYS,1023,266160
MATIE,0,579
PEARLE,0,2803
VESTA,27,8125
VINNIE,715,3081
ANTOINETTE,68,78158
CLEMENTINE,0,8954
EDYTHE,0,13808
HARRIETTE,0,8678
LIBBIE,0,2418
LILIAN,0,15884
LUE,689,6473
LUTIE,0,735
MAGDALENA,10,17171
MEDA,0,1871
RITA,778,282826
TENA,0,8099
ZELMA,112,16705
ADELIA,0,4927
ANNETTA,0,8750
ANTONIA,2617,32278
DONA,175,18834
ELIZEBETH,0,4585
GEORGIANNA,0,9024
GRACIE,45,71609
IONA,5,11679
LESSIE,944,14065
LETA,0,11821
LIZA,14,16526
MERTIE,0,1830
MOLLY,360,161470
NEVA,6,20609
OMA,181,9579
ALIDA,0,4402
ALVA,11187,8631
CECILE,191,20219
CLEO,11352,30306
DONNA,2232,830570
ELLIE,1125,54186
ERNESTINE,159,44001
EVIE,92,12216
FRANKIE,40310,32913
HELENE,0,33023
MINNA,0,2867
MYRTA,0,956
PRUDENCE,0,5458
QUEEN,31,14345
RILLA,0,2569
SAVANNAH,198,159563
TESSIE,10,9899
TINA,905,291290
AGATHA,0,8494
AMERICA,16,12355
ANITA,684,213648
ARMINTA,0,776
DOROTHEA,6,33797
IRA,53034,5636
LUVENIA,0,3932
MARJORIE,594,271957
MAYBELLE,0,5988
MELLIE,0,2081
NAN,0,10268
PEARLIE,695,18121
SIDNEY,82765,23337
VELMA,450,86594
CLARE,3052,28695
CONSTANCE,419,138832
DIXIE,752,42728
ILA,60,21987
IOLA,0,9582
JIMMIE,111796,22956
LOUVENIA,0,3625
LUCIA,91,40052
LUDIE,270,2687
LUNA,33,21375
METTA,0,1081
PATSY,7713,119283
PHEBE,0,2694
SOPHRONIA,0,1496
ADDA,0,937
AVIS,788,17119
BETSY,10,48200
BONNIE,4032,323581
CECIL,105969,7682
CORDIE,167,2064
EMMALINE,0,5225
ETHELYN,0,4450
HORTENSE,0,6312
JUNE,3214,190752
LOUIE,27745,2184
LOVIE,627,5749
MARCELLA,222,63440
MELINDA,338,134900
MONA,31,44912
ODESSA,154,17418
VERONICA,835,216521
AIMEE,78,53159
ANNABEL,0,13279
AVA,279,234749
BELLA,34,52741
CAROLINA,137,41521
CATHRINE,0,7695
CHRISTENA,0,2833
CLYDE,141802,3932
DENA,56,32168
DOLORES,1336,210924
ELEANORE,0,17681
ELMIRA,0,4272
FAY,4117,31719
FRANK,909430,4610
JENNY,605,90464
KIZZIE,0,1741
LONNIE,93632,6846
LOULA,0,610
MAGDALENE,0,8879
METTIE,0,1030
MINTIE,0,446
PEGGY,799,292561
REBA,60,35242
SERENA,16,40061
VIDA,38,10529
ZADA,0,2822
ABIGAIL,621,345728
CELESTINE,232,9545
CELINA,6,14194
CLAUDIE,2977,3739
CLEMMIE,972,2631
CONNIE,6955,266267
DAISIE,0,1016
DEBORAH,1658,740009
DESSA,0,1689
EASTER,66,5508
EDDIE,208999,15688
EMELIA,0,8553
EMMIE,0,6480
IMOGENE,55,27345
INDIA,27,21823
JEANNE,361,162897
JOAN,5973,479788
LENORE,6,22334
LIDDIE,0,1276
LOTTA,0,499
MAME,0,557
NEVADA,636,2876
RACHAEL,181,81859
SINA,437,1614
WILLA,24,25647
ALINE,5,14328
BERYL,2339,10053
CHARLES,2378806,12393
DAISEY,0,2347
DORCAS,0,7017
EDMONIA,0,898
EFFA,0,312
ELDORA,0,4059
ELOISE,111,49353
EMMER,11,2155
ERA,34,5542
GENA,0,12785
HENRY,668584,4498
IRIS,654,77664
IZORA,0,1130
LENNIE,2849,4517
LISSIE,0,933
MALLIE,407,3048
MALVINA,0,1674
MATHILDE,0,1582
MAZIE,0,7937
QUEENIE,0,3705
ROBERT,4809176,20098
ROSINA,0,5330
SALOME,672,3309
THEODORA,49,9829
THERESE,5,34993
VENA,0,2761
WANDA,972,280995
WILDA,15,12752
ALTHA,21,3364
ANASTASIA,23,40823
BESSE,0,671
BIRD,109,121
BIRTIE,0,946
CLARISSA,21,37849
CLAUDE,90962,953
DELILAH,0,34019
DIANA,1285,356219
EMELIE,0,2254
ERNA,11,9048
FERN,508,36387
FLORIDA,5,3527
FRONA,0,873
HILMA,0,2999
JOSEPH,2592856,10619
JULIET,0,27476
LEONIE,0,1668
LUGENIA,0,781
MAMMIE,0,2522
MANDA,0,3293
MANERVA,0,60
MANIE,0,529
NELLA,0,3739
PAULINA,5,17080
PHILOMENA,0,9139
RAE,894,21637
SELINA,0,17551
SENA,144,2661
THEODOSIA,0,1484
TOMMIE,34115,17322
UNA,0,7624
VERNIE,2759,3958
ADELA,0,12270
ALTHEA,5,16521
AMALIA,0,11706
AMBER,981,369103
ANGELINA,111,115989
ANNABELLE,10,54951
ANNER,12,1033
ARIE,1941,3032
CLARICE,96,25085
CORDA,12,567
CORRIE,1258,8215
DELL,3965,2544
DELLAR,0,576
DONIE,131,956
DORIS,3241,461723
ELDA,42,8833
ELINOR,0,20210
EMELINE,0,2947
EMILIA,0,28278
ESTA,27,4387
ESTELL,547,4232
ETHA,0,1802
FRED,342770,2029
HOPE,501,86314
INDIANA,790,1195
IONE,0,9867
JETTIE,192,3608
JOHNNIE,101367,48866
JOSIEPHINE,0,1061
KITTY,0,11609
LAVINA,0,6440
LEDA,0,3299
LETTA,0,746
MAHALA,0,2657
MARCIA,284,132968
MARGARETTE,0,6077
MAUDIE,0,11762
MAYE,0,1877
NORAH,129,18499
ODA,301,1325
PATTY,247,62425
PAULA,893,277682
PERMELIA,0,551
ROSALIA,0,7353
ROXANNA,7,12851
SULA,0,1332
VADA,162,10194
WINNIFRED,0,4664
ADLINE,0,1177
ALMIRA,0,1714
ALVENA,0,1601
ARIZONA,113,2464
BECKY,144,86536
BENNIE,52240,9713
BERNADETTE,60,53306
CAMILLE,1336,64505
CORDIA,0,1456
CORINE,17,14510
DICIE,0,1167
DOVE,22,781
DRUSILLA,0,2882
ELENA,93,70103
ELENORA,0,3329
ELMINA,0,734
ETHYL,0,2395
EVALYN,0,7619
EVELINA,0,4405
FAYE,518,67691
HULDAH,0,850
IDELL,38,3425
INGA,0,3964
IRENA,0,1936
JEWELL,4630,29242
KATTIE,0,5564
LAVENIA,0,1678
LESLIE,112643,265771
LOVINA,0,2039
LULIE,0,182
MAGNOLIA,0,8383
MARGERET,0,972
MARGERY,0,15747
MEDIA,0,473
MILLICENT,0,10758
NENA,0,4805
OCIE,2719,4052
ORILLA,0,225
OSIE,748,1354
PANSY,0,10946
RAY,201751,5396
ROSIA,0,3506
ROWENA,0,10205
SHIRLEY,9551,685032
TABITHA,146,57551
THOMAS,2297759,8457
VERDIE,211,2614
WALTER,619404,3633
ZETTA,0,2001
ZOA,0,468
ZONA,0,4462
ALBERTINA,0,1636
ALBINA,0,4942
ALYCE,0,17113
AMIE,40,21245
ANGELA,2136,662320
ANNIS,7,2914
CAROL,8655,816060
CARRA,0,1304
CLARENCE,302278,1859
CLARINDA,0,1325
DELPHIA,0,4230
DILLIE,0,537
DOSHIE,0,799
DRUCILLA,0,3553
ETNA,0,676
EUGENIE,0,3352
EULALIA,0,4400
EVE,0,23931
FELICIA,279,90767
FLORANCE,0,1672
FRONIE,0,789
GERALDINE,748,210263
GINA,399,152031
GLENNA,5,25552
GRAYCE,0,4191
HEDWIG,0,3077
JESSICA,3576,1043625
JOSSIE,17,1970
KATHERYN,0,14794
KATY,5,20134
LEA,620,30587
LEANNA,5,23131
LEITHA,0,731
LEONE,262,6111
LIDIE,0,91
LOMA,5,2284
LULAR,0,572
MAGDALEN,0,3138
MAYMIE,0,1054
MINERVIA,0,95
MURIEL,762,54642
NEPPIE,0,38
OLIE,572,420
ONIE,276,1786
OSA,82,647
OTELIA,0,1184
PARALEE,0,1210
PATIENCE,17,10564
RELLA,0,1270
RILLIE,0,69
ROSANNA,6,13987
THEO,10224,3204
TILDA,0,1885
TISHIE,0,312
TRESSA,0,6943
VIVA,0,3489
YETTA,0,3788
ZENA,0,5235
ZOLA,21,7096
ABBY,181,56869
AILEEN,5,33954
ALBA,108,5873
ALDA,10,4951
ALLA,10,1137
ALVERTA,0,2441
ARA,1167,3027
ARDELIA,0,1370
ARDELLA,0,3453
ARRIE,312,1736
ARVILLA,0,2931
AUGUSTINE,12413,3612
AURORA,48,47655
BAMA,0,498
BENA,0,594
BYRD,709,253
CALLA,0,3162
CAMILLA,6,20911
CAREY,16741,12685
CARLOTTA,0,6179
CELESTIA,0,1137
CHERRY,135,11322
CINDA,0,4590
CLASSIE,0,1607
CLAUDINE,15,11306
CLEMIE,5,211
CLIFFORD,186939,2019
CLYDA,0,758
CREOLA,0,1742
DEBBIE,434,187626
DEE,7238,15835
